Abide-anit
Cihaz-aygit

Cilt-ten
Cimri-pinti
Cimri-hasis




Ciliz-siska
Ciddi-agirbasli
Cihaz-aygit

Cilt-ten
Cimri-pinti
Cimri-hasis



















D


Darbe-vurus



Defa-kez
Deger-kiymet
Degerli-kiymetli
Degnek-sopa

Delil-kanit

Denetim-kontrol

Deprem-zerzele
Dergi-mecmua
Derhal-hemen
Deri-ten
Derslik-sinif

Devinim-hareket

Devir-tur

Disalim-ithalat
Dissatim-ihracat
Diger-baska
Dil-lisan
Dilbilgisi-gramer
Diri-canli
Dize-misra
Doga-tabiat
Dogal-tabii
Dogu-sark
Doktor-hekim
Donuk-mat
Doruk-zirve


Duru:berrak
Durum:vaziyet
Duygu:his





Dilek:istek
Dizi:sira
Dost:arkadas
E
Ebat: boyut
Ebedi: sonsuz
Ebeveyn. Ana-baba

Efe: zeybek
Egoist:bencil

Ek. Ilave
Eklem: mafsal
Ekonomi : iktisat
Elbise: giysi
Emir: buyruk

Ender: nadir
Endise :kaygi

Enkaz: yikinti
Enlem: paralel
Entari: giysi


Esas: temel
Eser: yapit
Esir: tutsak
Etki: tesir


Eylem: fiil
Eylemsi: fiilimsi
Ev: konut
Edebiyat: yazin
Eda: verme
F
Faaliyet: etkinlik
Fakat: ama-lakin
Fakir: yoksul-fukara


Fark-ayrim
Fasila-ara
Fayda-yarar


Fert-birey
Feza-uzay
Fiil- eylem

File-ag


Fer-isik
Faiz-nema
G
Garip-acayip
Garp-bati


Gebe-hamile
Gelecek-istikbal-ati
Gelenek-anane
Gene-yine
Genel-umumi
Geri-art
Gida-besin
Giysi-elbise
Giz-sir
Gizli-sakli


Gramer-dilbilgisi









Gezmek-dolasmak
H
Hal-durum
Halbuki-oysa
Ham-olmamis
Hane-ev
Hareket-devinim

Harp-savas
Hasis-cimri-pinti

Hassas-duygulu
Hatira-ani

Hayat-yasam
Haysiyet-onur
Hediye-armagan
Hekim-doktor
Hela-tuvalet-wc
Hemen-derhal


Hisse-pay
Hudut-sinir


Hisim-akraba

Hareket-devinim
Hadise-olay
I
Ilica-kaplica
Irak-uzak

Irk-soy
Ira- karakter
Irmak-nehir
I
Icat-bulus



Ihracat-dissatim
Ihtiyar-yasli

Ikaz-uyari
Iktisat-ekonomi
Ilave-ek

Ilgi-alaka

Ilim-bilim
Imar-bayindir
Imkan-olanak
Isim-ad
Iskemle-sandalye
Ithalat-disalim
Itibar-sayginlik



Idadi-lise
Ilan-duyuru

Imtihan-sinav
J
Jeoloji-yer bilimi
K
Kabiliyet-yetenek
Kabus-karabasan
Kafa-bas
Kafi-yeter
Kafiye-uyak
Kalite-nitelik

Kamu-halk
Kanit-delil
Kapital-anamal-sermaye
Kanun-yasa
Kara-siyah
Karsin-ragmen
Karsit-zit
Kas-adale
Kati-sert
Kati-kesin
Kayip-yitik
Keder-aci

Kenar-kiyi
Kent-sehir
Kere-defa-kez
Kesin- kati
Kirmizi-al
Kiyi-sahil
Kir-pislik
Kirli-pis
Kisi-sahis
Kocaman-iri


Kontrol-denetim
Konuk-misafir
Konut-ev
Kosul-sart
Kural-kaide


Kutsal-mukaddes

Kuzey-simal


Kilavuz-rehber
Kolay-basit
L

Lahza-an

Lisan-dil


Lal-dilsiz
Lama-deve
Lafazan-geveze
M
Mabet-tapinak

Mafsal-eklem
Maglup-yenik
Mahalli-yerel

Mahluk- yaratik
Mahpushane-hapishane

Mana-anlam

Matbaa-basimevi
Matem-yas
Mebus-milletvekili
Mecbur-zorunlu
Mecmua-dergi
Medeni-uygar
Medeniyet-uygarlik
Mektep-okul
Melodi-ezgi

Menfi-olumsuz
Menkul-tasinir
Meridyen-boylam
Mesafe-ara

Mesele-sorun
Mesken-konuk
Meslek-is
Mesul-sorumlu
Mesut-mutlu


Mevcut-var
Meydan-alan
Millet-ulus
Milletvekili-mebus
Milli-ulusal
Misafir-konuk

Misli-kati
Muavin-yardimci
Muharebe-savas











Merkep-esek
Mani-engel


Mektup-name

N
Nadir-ender
Nakil-atama-tasima

Nebat-bitki
Neden-sebep
Nefes-soluk
Nehir-irmak
Nem-rutubet
Nesil-kusak



Nispet-oran
Nitelik-kalite
Noksan-eksik



Nakliyeci-tasimaci
Namzet-aday
O
Okul-mektep
Olanak-imkan

Olay-vaka

Olumsuz-menfi
Onarim-tamir
Onay-tasdik
Onur-seref
Oran-nispet
Otlak-mera
Oy-rey
Ozan-sair





























P

Pasif-edilgen
Pinti-cimri
Pis-kirli
Politika-siyaset
Ragmen-karsin

Rey-oy
Rutubet-nem


Problem-sorun

S
Sade-yalin
Saglik-sihhat
Saha-alan
Sahil-kiyi-yali



Sandalye-iskemle
Savas-harp

Sebep-neden
Sene-yil
Sermaye-kapital


Sihhat-saglik
Sir-giz

Siyah-kara
Siyaset-politika
Son-nihayet

Sorun mesele
Soylu-asil



Sulh-baris
Suni-yapay




Sinif-derslik

Sorumluluk-mesuliyet

Sinav-imtihan

Safak-tan
Sahis-kisi
Sahit-tanik
Sair-ozan
Sans-talih
Sark-dogu
Sart-kosul
Sayet-eger

Sehir-kent

Sen-neseli
Seref-onur



Saka-latife
T
Tabiat-doga
Tabii-dogal
Tabip-hekim-doktor

Talih-sans
Tamir-onarim
Tane-adet
Tanik-sahit
Tanim-tarif
Tapinak-mabet
Taraf-yan
Tarim-ziraat
Tarif-tanim
Tasdik-onay
Tebrik-kutlama



Tekrar-yine
Temel-esas



Tesir-etki
Toplum- cemiyet

Tuhaf-garip
Tutsak-esir
Tuvalet-hela-wc



Tren-simendifer-katar

U


Ugras-is

Ulus-millet
Umumi-genel


Us-akil
Uyari-ikaz
Uygar-medeni
Uyum-ahenk
Uzak-irak
Uzay-feza

Usta-ehil









V
Vaka-olay
Vakit-zaman
Varlikli-zengin

Vatan-yurt

Vaziyet-durum
Vesika-belge


Vilayet-il
Veteriner-baytar
Y
Yalin-sade
Yan-taraf
Yanit-cevap
Yapay-suni
Yapit-eser

Yaratik-mahluk
Yardimci-muavin


Yas-matem
Yasa-kanun
Yas-islak

Yasli-ihtiyar
Yazi-ova
Yazim-imla


Yerel-mahalli
Yetenek-kabiliyet
Yil-sene
Yine-tekrar
Yitik-kayip
Yoksul-fakir-fukara

Yurt-vatan




Yemek-as
Z
Zaman-vakit
Zarar-ziyan
Zengin-varlikli
Zeybek-efe
Zit-karsit
Ziraat-tarim
Ziyan-zarar

Zorunlu-mecburi
Zirnik-metelik
Zehir-agu
Zabit-subay
